status_code,code,msg,trace_id,origin_question,is_calc,video_url,pre_process_res,result,full_url
200,30004,python接口状态码异常,51d0f187b438756e,121×0.13+12.1×0.9-1.21×12=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=121%C3%970.13%2B12.1%C3%970.9-1.21%C3%9712%3D
200,0,success,76aef8afe3aa8f01,7.43×1.28+1.28×2.57=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=7.43%C3%971.28%2B1.28%C3%972.57%3D&validLen=0,"{""sum"":""$$7.43 \times 1.28+1.28 \times 2.57$$""}",$$12.8$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=7.43%C3%971.28%2B1.28%C3%972.57%3D
200,0,success,5446bfb452683a49,5.28×99=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=5.28&num2=99&op=%C3%97&relSym=%E2%89%88&validLen=0&sum=5.28%C3%9799%3D,"{""calc"":true,""num1"":""5.28"",""op"":""×"",""num2"":""99"",""relSym"":""≈"",""cmpByDot"":false,""validLen"":0,""result"":""523"",""circLen"":0}",523,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=5.28%C3%9799%3D
200,30004,python接口状态码异常,75496ef730ecedc5,（0.65×57.5+0.574×35-57.4)÷3=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%EF%BC%880.65%C3%9757.5%2B0.574%C3%9735-57.4%29%C3%B73%3D
200,0,success,0c579f6f3e9480c9,137×0.9+13.7×11-1.37×200=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=137%C3%970.9%2B13.7%C3%9711-1.37%C3%97200%3D&validLen=0,"{""sum"":""$$137 \times 0.9+13.7 \times 11-1.37 \times 200$$""}",$$0$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=137%C3%970.9%2B13.7%C3%9711-1.37%C3%97200%3D
200,30004,python接口状态码异常,74bbc26d40095ebb,2004.05×1997.05-2001.05×1999.05=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=2004.05%C3%971997.05-2001.05%C3%971999.05%3D
200,30004,python接口状态码异常,653f82da069b3535,1.25×17.6+36÷0.8+2.64×12.5=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=1.25%C3%9717.6%2B36%C3%B70.8%2B2.64%C3%9712.5%3D
200,30004,python接口状态码异常,3327f01a9d24815c,6.25×8.27×16+3.75×0.827×8=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=6.25%C3%978.27%C3%9716%2B3.75%C3%970.827%C3%978%3D
200,0,success,523547c2152b2f57,4.5×100.2=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=4.5&num2=100.2&op=%C3%97&relSym=%E2%89%88&validLen=0&sum=4.5%C3%97100.2%3D,"{""calc"":true,""num1"":""4.5"",""op"":""×"",""num2"":""100.2"",""relSym"":""≈"",""cmpByDot"":false,""validLen"":0,""result"":""451"",""circLen"":0}",451,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=4.5%C3%97100.2%3D
200,0,success,50aa6c09ed6675a2,46×9.9=,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=46&num2=9.9&op=%C3%97&relSym=%E2%89%88&validLen=0&sum=46%C3%979.9%3D,"{""calc"":true,""num1"":""46"",""op"":""×"",""num2"":""9.9"",""relSym"":""≈"",""cmpByDot"":false,""validLen"":0,""result"":""455"",""circLen"":0}",455,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=46%C3%979.9%3D
200,0,success,4beb0f9718c94ee9,12.09÷2+1.91×0.5=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=12.09%C3%B72%2B1.91%C3%970.5%3D&validLen=0,"{""sum"":""$$12.09 \div 2+1.91 \times 0.5$$""}",$$7$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=12.09%C3%B72%2B1.91%C3%970.5%3D
200,0,success,067b5ac530dfa144,0.65×5.2+0.35×5.2=,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=0.65%C3%975.2%2B0.35%C3%975.2%3D&validLen=0,"{""sum"":""$$0.65 \times 5.2+0.35 \times 5.2$$""}",$$5.2$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=0.65%C3%975.2%2B0.35%C3%975.2%3D
200,30004,python接口状态码异常,78f1d5a42962d369,9.8×65.2×1.25-12.5×0.652×18=,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=9.8%C3%9765.2%C3%971.25-12.5%C3%970.652%C3%9718%3D
