module_id,question_context,playback_url
1007451,水果店运来的4筐苹果与3筐梨的重量相等，已知每筐梨的重量60千克，每筐苹果多重？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007451&question=水果店运来的4筐苹果与3筐梨的重量相等，已知每筐梨的重量60千克，每筐苹果多重？
1007466,小芳13天共看书195页，照这样计算，剩下的还要25天看完，剩下的有多少页？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007466&question=小芳13天共看书195页，照这样计算，剩下的还要25天看完，剩下的有多少页？
1007473,小冬的体重是33.12千克，小民比小冬轻2.15千克，盼盼比小民重3.8千克。盼盼的体重是多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007473&question=小冬的体重是33.12千克，小民比小冬轻2.15千克，盼盼比小民重3.8千克。盼盼的体重是多少千克？
1007502,学校食堂采购了9袋大米，每袋重量为25千克，已经吃了55千克，还剩多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007502&question=学校食堂采购了9袋大米，每袋重量为25千克，已经吃了55千克，还剩多少千克？
1007549,一个粮食加工厂要加工6000千克大米，前2小时加工了1200千克。照这样的速度，加工完剩下的大米还要几小时？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007549&question=一个粮食加工厂要加工6000千克大米，前2小时加工了1200千克。照这样的速度，加工完剩下的大米还要几小时？
1007567,"修一条路,5人6天可以铺300米,照这样的速度,要想40天修完4000米,需要多少人？","https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007567&question=修一条路,5人6天可以铺300米,照这样的速度,要想40天修完4000米,需要多少人？"
1007569,一台拖拉机每小时耕地0.5公顷，1.2小时可耕地多少公顷？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007569&question=一台拖拉机每小时耕地0.5公顷，1.2小时可耕地多少公顷？
1007575,果园里有1268棵果树，其中梨树475棵，枣树325棵，剩下的是苹果树，苹果树有多少棵？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007575&question=果园里有1268棵果树，其中梨树475棵，枣树325棵，剩下的是苹果树，苹果树有多少棵？
1007577,北方冬天天气冷，有些城市有集中供热站。某城市一供热站，12月份烧煤46.84吨，1月份比12月份还多烧煤4.7吨，这两个月一共烧煤多少吨？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007577&question=北方冬天天气冷，有些城市有集中供热站。某城市一供热站，12月份烧煤46.84吨，1月份比12月份还多烧煤4.7吨，这两个月一共烧煤多少吨？
1007604,国华商场1至4季度分别售出空调369台、57台、431台和243台。国华商场全年共售出空调多少台？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007604&question=国华商场1至4季度分别售出空调369台、57台、431台和243台。国华商场全年共售出空调多少台？
1007647,张师傅上午生产了70个零件，下午又生产了60个同样的零件。照这样计算，张师傅5天能生产多少个零件？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007647&question=张师傅上午生产了70个零件，下午又生产了60个同样的零件。照这样计算，张师傅5天能生产多少个零件？
1007648,"2016年有52个星期零2天,这一年有多少天？","https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007648&question=2016年有52个星期零2天,这一年有多少天？"
1007649,育才学校四年级14名老师和326名学生去参观科技馆，每辆客车限坐40人，至少需要多少辆这样的客车？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007649&question=育才学校四年级14名老师和326名学生去参观科技馆，每辆客车限坐40人，至少需要多少辆这样的客车？
1007650,某粮食仓库上午运出大米340袋，下午运出560袋，如果每袋大米重50千克。这天一共运出大米多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007650&question=某粮食仓库上午运出大米340袋，下午运出560袋，如果每袋大米重50千克。这天一共运出大米多少千克？
1007651,王老师每批改一篇作文先看6分钟，后写评语3分钟，45位同学的作文全部批改完，他一共要花几小时几分钟？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007651&question=王老师每批改一篇作文先看6分钟，后写评语3分钟，45位同学的作文全部批改完，他一共要花几小时几分钟？
1007656,学校庆祝“六一”儿童节，每个班需要做45朵花，共有18个班，已经做了360朵，还要做多少朵？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007656&question=学校庆祝“六一”儿童节，每个班需要做45朵花，共有18个班，已经做了360朵，还要做多少朵？
1007657,7名工人8天加工服装2632件，照这样计算，再增加3名工人，1天能加工服装多少件？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007657&question=7名工人8天加工服装2632件，照这样计算，再增加3名工人，1天能加工服装多少件？
1007658,8名园林工人每小时植树32棵，如果再增加这样的4名工人，5小时一共植树多少棵？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007658&question=8名园林工人每小时植树32棵，如果再增加这样的4名工人，5小时一共植树多少棵？
1007663,某水果店运进苹果532千克，卖出439千克后，又运进了450千克，水果店现在还有苹果多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007663&question=某水果店运进苹果532千克，卖出439千克后，又运进了450千克，水果店现在还有苹果多少千克？
1007665,同学们进行跳远比赛，东东跳了3.27米；方方比东东多跳0.16米，比强强少跳0.23米，强强跳了多少米？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007665&question=同学们进行跳远比赛，东东跳了3.27米；方方比东东多跳0.16米，比强强少跳0.23米，强强跳了多少米？
1007666,二（1）班有男生27人，女生21人，有18人没有带跳绳，有多少人带了？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007666&question=二（1）班有男生27人，女生21人，有18人没有带跳绳，有多少人带了？
1007672,40个人采集了900千克茶叶，如果每篮装15千克，还差25个篮子，原来有几个篮子？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007672&question=40个人采集了900千克茶叶，如果每篮装15千克，还差25个篮子，原来有几个篮子？
1007674,文文去同学家，如果往返都乘车，要用46分钟；如果他去时乘车，回来时步行，要用78分钟。文文回来步行用多少分钟？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007674&question=文文去同学家，如果往返都乘车，要用46分钟；如果他去时乘车，回来时步行，要用78分钟。文文回来步行用多少分钟？
1007675,水果店上午售出苹果10筐，每筐25千克，下午售出同样的苹果15筐，下午比上午多售出苹果多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007675&question=水果店上午售出苹果10筐，每筐25千克，下午售出同样的苹果15筐，下午比上午多售出苹果多少千克？
1007677,打印室一共有900张白纸，印语文、数学练习题各用了365张，还剩下多少张白纸？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007677&question=打印室一共有900张白纸，印语文、数学练习题各用了365张，还剩下多少张白纸？
