raw_value,nlu_skill,nlu_task,nlu_result_is_valid,nlu_result_tts_task_type,nlu_result_tts_text
精神损失,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,精神损失的意思是由于加害人的侵权行为给受害人造成精神痛苦或使其精神利益受到损害。
纬编,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,纬编的意思是纬编是以一根或若干根纱线同时沿着织物的横向，循序地由织针形成线圈，并在纵向相互串套成为纬编针织物。
花着,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
湿纸巾,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,湿纸巾的意思是由纯水、水刺无纺布和丙二醇制成的一种用于擦脸擦手、或皮肤的一种纸巾。
零售价,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,零售价的意思是零售价格。零售价格是“批发价格”的对称。零星买卖的价格。
备受欢迎,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
交换生,baike,baike,True,baike,交换生（英文名exchange student）又称学校间学生交流计划，“学生交换”是以提高不同地区、国家人民间的相互理解、尊重，培养青少年的世界观为宗旨的项目。
早半天儿,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,早半天儿的意思是中午以前；上午。也说早半晌儿。
片刻不离,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,片刻不离的意思是一会儿也没有离开，形容关系非常密切，一会儿也不忍离开（经常用于形容情人之间或一个人对另一个人的照顾）。
台式机,baike,baike,False,baike,抱歉，小猴答不上来
小灵通,baike,baike,True,baike,小灵通: 小灵通是一种个人手持式无线电话系统，目前人们泛指小灵通手机，无线市话（Personal Handy-phone System，中文意为低功率移动电话系统）简称PHS，。属于: 无线市话。
保暖内衣,baike,baike,False,baike,抱歉，小猴答不上来
岁岁平安,zh_dic,no_task,False,no_task,抱歉，小猴没理解。
缤纷多彩,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
工作室,baike,baike,False,baike,抱歉，小猴答不上来
球形,baike,baike,True,baike,球状闪电，俗称滚地雷。通常在雷暴时发生，为圆球形状的闪电。这是一种真实的物理现象。它十分亮，近圆球形，直径约15至40厘米不等。通常仅维持数秒，但也有维持了1至2分钟的记录。颜色除常见的橙色和红色外，还有黄色，紫色，蓝色，亮白色，幽绿色的光环，呈多种多样的色彩。球状闪电的危害较大，它可以随气流起伏在近地空中自在飘飞或逆风而行。它可以通过开着的门窗进入室内，常见的是穿过烟囱后进入建筑物。它甚至可以在导线上滑动，有时会悬停，有时会无声消失，有时又会因为碰到障碍物爆炸。
可造之才,zh_dic,no_task,False,no_task,抱歉，小猴没理解。
芥蓝菜,baike,baike,True,baike,芥蓝菜: 芥蓝菜 Gailancai 十字花科 芥蓝菜Brassica alboglabra Bailey 【别名】 芥兰、芥兰菜。
憋尿,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,找到多个biēniào，你想查哪一个呢?
咸鱼翻身,zh_dic,zh_dic_idiom_lookup.meaning_lookup,True,zh_dic_idiom_lookup.meaning_lookup,咸鱼翻身的意思是咸鱼，喻低贱的人或物。咸鱼翻身，比喻本受轻视的人或物，时来运转，身价不同往昔。
业内人士,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,业内人士的意思是指从事某一行业的人，因为其从事这个行业，因此比较了解，所以大家通常把那些身在其中，能获得第一手资料的人称为业内人士。
抵充,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,抵充的意思是(用价值相等的事物)代替；充当。
视频通话,functional,functional.call,True,functional.call,正在打开电话
由远及近,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,由远及近的意思是从远处走向（到达）近处。
分众,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,分众的意思是根据用户需求差异等情况划分人群。
弱柳扶风,zh_dic,zh_dic_idiom_lookup.meaning_lookup,True,zh_dic_idiom_lookup.meaning_lookup,弱柳扶风的意思是形容女子体态软弱，动作轻柔。
重创敌军,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,重创敌军的意思是重创指使受重大伤亡，敌军指的就是敌人的军队，重创敌军就是指使敌人的军队受重大伤亡。
虫蛀,zh_dic,zh_dic_word_lookup.meaning_lookup,True,zh_dic_word_lookup.meaning_lookup,虫蛀的意思是被虫子蛀了。
背字儿,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
查罚,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到查罚这个词，我先把它记下来
癖爱,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到癖爱这个词，我先把它记下来
大较,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到大较这个词，我先把它记下来
愈战愈勇,zh_dic,no_task,False,no_task,抱歉，小猴没听懂。
大嚷大叫,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
风光秀丽,zh_dic,no_task,False,no_task,抱歉，小猴没听清。
捉虫,baike,baike,True,baike,捉虫一词源于英语BUG，BUG 其意思有虫子的意思，同时有缺点漏洞的意思，常用于形容电影电视节目的穿帮镜头，如为电影找错误称为捉虫。
蠢物,,poem_title_lookup.content_lookup,True,poem_title_lookup.content_lookup,春物 ，宋代， 姜特立 ，一春天富贵，万象物光华。遥想西湖上，风流卖酒家。
仙姬,baike,baike,False,baike,抱歉，小猴答不上来
抽紧,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到抽紧这个词，我先把它记下来
拉皮,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到拉皮这个词，我先把它记下来
霸王车,baike,baike,True,baike,霸王车: 象棋的另类玩法   也称一统棋  下棋时，红方将自己的一车、双马、双炮去掉，剩下的车具有车、马、炮的走法、吃法。
宅女,baike,baike,True,baike,指长期足不出户的女性。原指御宅女，既女性御宅族（御宅族与足不出户毫无关系）。
成品油,baike,baike,True,baike,成品油按照《成品油办法》（商务部令2006年第23号）第四条称成品油是指汽油、煤油、柴油及其他符合国家产品质量标准、具有相同用途的乙醇汽油和生物柴油等替代燃料。 成品油是经过原油的生产加工而成，可分为石油燃料、石油溶剂与化工原料、润滑剂、石蜡、石油沥青、石油焦6类。其中，石油燃料产量最大，约占总产量的90%；各种润滑剂品种最多，产量约占5%。各国都制定了产品标准，以适应生产和使用的需要。 从2013年2月25日零时起上调成品油最高零售价格。按全国平均价计算，每升的零售价格将分别提高0.22元和0.25元。自2013年3月27日零时起，汽、柴油零售价格90号汽油和0号柴油（全国平均）每升分别降低0.23元和0.26元，这是国内成品油价格2013年以来首次下调。2013年11月1日零时起汽、柴油价格每吨均降低75元，测算到零售价格90号汽油和0号柴油（全国平均）每升均降低0.06元，这一降幅创年内新低，也是十年新低。 2020年3月17日，国内成品油价格将大幅下调，触及地板价。
百分百,chat,chat.small_talk,False,chat.small_talk,我们先不要聊天啦，好好学习吧！
借壳上市,baike,baike,False,baike,抱歉，小猴答不上来
得无,zh_dic,zh_dic_word_lookup.meaning_lookup,False,zh_dic_word_lookup.meaning_lookup,小猴没找到得无这个词，我先把它记下来
高迁,baike,baike,False,baike,抱歉，小猴答不上来
相形之下,zh_dic,no_task,False,no_task,抱歉，小猴没理解。
基民,baike,baike,True,baike,基民，延伸于股民，是诞生于2007年的网络新词。基金持有人被人形象的称为“基民”。比起股市震荡，基金的涨跌对心脏温柔得多。“老股民”纷纷转行为“新基民”，据统计73%的基金投资者为一年以内的新基民。绝大多数的基民买卖基金存在不少误区，比如最喜欢买净值在1元左右的基金，包括新发行、拆分或分红的基金等，以为比照往年基金的高收益，在1元附近买才便宜划算，以后才赚得多。调查结果还显示：91.5%的受访基民没有赎回基金投入股市的意愿，其中北京超过三成的受访基民是因为自己比较喜欢稳健的、风险小的投资方式。
黄金档,baike,baike,False,baike,抱歉，小猴答不上来
不婚族,baike,baike,False,baike,抱歉，小猴答不上来
方便袋,baike,baike,True,baike,方便袋是我们日常购物最普遍的包装物，白色污染的主要构成，主要材料以聚乙烯薄膜为主，也就是我们所说的塑料，所以也叫做塑料袋。
