status_code,code,msg,trace_id,origin_question,is_calc,video_url,pre_process_res,result,full_url
200,0,success,450a3998b1bd595c,234\times568,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=234&num2=568&op=%C3%97&relSym=%3D&validLen=0,"{""calc"":true,""num1"":""234"",""op"":""×"",""num2"":""568"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""132912"",""circLen"":0}",132912,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=234%5Ctimes568
200,30004,python接口状态码异常,7c140e4129bc36b6,\frac{9820}{1111}-6\times23+1-22,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%5Cfrac%7B9820%7D%7B1111%7D-6%5Ctimes23%2B1-22
200,30004,python接口状态码异常,3b0d578d52f28b45,12341.1+11.1244,,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=12341.1%2B11.1244
200,30004,python接口状态码异常,058c0beee6374ffd,\frac{23}{123}-\frac{12}{234},,,,,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%5Cfrac%7B23%7D%7B123%7D-%5Cfrac%7B12%7D%7B234%7D
200,0,success,65c8e1aa5d59519b,19 \frac{7}{30}-8 \frac{9}{10}-2 \frac{14}{15},True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=19+%5Cfrac%7B7%7D%7B30%7D-8+%5Cfrac%7B9%7D%7B10%7D-2+%5Cfrac%7B14%7D%7B15%7D&validLen=0,"{""sum"":""$$19\frac{7}{30}-8\frac{9}{10}-2\frac{14}{15}$$""}",$$7\frac{2}{5}$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=19%20%5Cfrac%7B7%7D%7B30%7D-8%20%5Cfrac%7B9%7D%7B10%7D-2%20%5Cfrac%7B14%7D%7B15%7D
200,0,success,5147f46df48bd50c,671+649+129,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=671%2B649%2B129&validLen=0,"{""sum"":""$$671+649+129$$""}",$$1449$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=671%2B649%2B129
200,0,success,1fc8f6a16e666e5c,5\times20\times16\times125\times8\times5,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=5%5Ctimes20%5Ctimes16%5Ctimes125%5Ctimes8%5Ctimes5&validLen=0,"{""sum"":""$$5 \times 20 \times 16 \times 125 \times 8 \times 5$$""}",$$8000000$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=5%5Ctimes20%5Ctimes16%5Ctimes125%5Ctimes8%5Ctimes5
200,0,success,781ada38f4a0c9fd,125\times24,True,https://ailearn.chengjiukehu.com/auto-math-lecture-h5/#/?calc=true&circLen=0&cmpByDot=false&num1=125&num2=24&op=%C3%97&relSym=%3D&validLen=0&sum=125%5Ctimes24,"{""calc"":true,""num1"":""125"",""op"":""×"",""num2"":""24"",""relSym"":""="",""cmpByDot"":false,""validLen"":0,""result"":""3000"",""circLen"":0}",3000,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=125%5Ctimes24
200,0,success,669b9cf32548ad29,(100+1)\times35,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=%28100%2B1%29%5Ctimes35&validLen=0,"{""sum"":""$$(100+1) \times 35$$""}",$$3535$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=%28100%2B1%29%5Ctimes35
200,0,success,373b44a6bb32cceb,5\times0.2\times12.5\times8,True,http://static-test.tipaipai.com/auto-math-contracted-calculation/index.html#/?calc=true&cmpByDot=false&sum=5%5Ctimes0.2%5Ctimes12.5%5Ctimes8&validLen=0,"{""sum"":""$$5 \times 0.2 \times 12.5 \times 8$$""}",$$100$$,http://ailearn.chengjiukehu.com/alv-automath-service-web/v1/automath/check?sum=5%5Ctimes0.2%5Ctimes12.5%5Ctimes8
